Country,Region,Happiness Rank,HappinessScore
Denmark,Western Europe,1,7.526
Switzerland,Western Europe,2,7.509
Iceland,Western Europe,3,7.501
Norway,Western Europe,4,7.498
Finland,Western Europe,5,7.413
Canada,North America,6,7.404
Netherlands,Western Europe,7,7.339
New Zealand,Australia and New Zealand,8,7.334
Australia,Australia and New Zealand,9,7.313
Sweden,Western Europe,10,7.291
Israel,Middle East and Northern Africa,11,7.267
Austria,Western Europe,12,7.119
United States,North America,13,7.104
Costa Rica,Latin America and Caribbean,14,7.087
Germany,Western Europe,16,6.994
Brazil,Latin America and Caribbean,17,6.952
Belgium,Western Europe,18,6.929
Ireland,Western Europe,19,6.907
Luxembourg,Western Europe,20,6.871
Mexico,Latin America and Caribbean,21,6.778
Singapore,Southeastern Asia,22,6.739
United Kingdom,Western Europe,23,6.725
Chile,Latin America and Caribbean,24,6.705
Panama,Latin America and Caribbean,25,6.701
Argentina,Latin America and Caribbean,26,6.65
Czech Republic,Central and Eastern Europe,27,6.596
United Arab Emirates,Middle East and Northern Africa,28,6.573
Uruguay,Latin America and Caribbean,29,6.545
Malta,Western Europe,30,6.488
Colombia,Latin America and Caribbean,31,6.481
France,Western Europe,32,6.478
Thailand,Southeastern Asia,33,6.474
Qatar,Middle East and Northern Africa,36,6.375
Spain,Western Europe,37,6.361
Guatemala,Latin America and Caribbean,39,6.324
Suriname,Latin America and Caribbean,40,6.269
Bahrain,Middle East and Northern Africa,42,6.218
Trinidad and Tobago,Latin America and Caribbean,43,6.168
Venezuela,Latin America and Caribbean,44,6.084
Slovakia,Central and Eastern Europe,45,6.078
El Salvador,Latin America and Caribbean,46,6.068
Nicaragua,Latin America and Caribbean,48,5.992
Uzbekistan,Central and Eastern Europe,49,5.987
Italy,Western Europe,50,5.977
Ecuador,Latin America and Caribbean,51,5.976
Belize,Latin America and Caribbean,52,5.956
Japan,Eastern Asia,53,5.921
Kazakhstan,Central and Eastern Europe,54,5.919
Moldova,Central and Eastern Europe,55,5.897
Russia,Central and Eastern Europe,56,5.856
Poland,Central and Eastern Europe,57,5.835
South Korea,Eastern Asia,57,5.835
Bolivia,Latin America and Caribbean,59,5.822
Lithuania,Central and Eastern Europe,60,5.813
Belarus,Central and Eastern Europe,61,5.802
Slovenia,Central and Eastern Europe,63,5.768
Peru,Latin America and Caribbean,64,5.743
Turkmenistan,Central and Eastern Europe,65,5.658
Mauritius,Sub-Saharan Africa,66,5.648
Libya,Middle East and Northern Africa,67,5.56
Cyprus,Western Europe,69,5.546
Paraguay,Latin America and Caribbean,70,5.538
Romania,Central and Eastern Europe,71,5.528
Estonia,Central and Eastern Europe,72,5.517
Jamaica,Latin America and Caribbean,73,5.51
Croatia,Central and Eastern Europe,74,5.488
Turkey,Middle East and Northern Africa,78,5.389
Jordan,Middle East and Northern Africa,80,5.303
Azerbaijan,Central and Eastern Europe,81,5.291
Philippines,Southeastern Asia,82,5.279
China,Eastern Asia,83,5.245
Kyrgyzstan,Central and Eastern Europe,85,5.185
Serbia,Central and Eastern Europe,86,5.177
Bosnia and Herzegovina,Central and Eastern Europe,87,5.163
Montenegro,Central and Eastern Europe,88,5.161
Dominican Republic,Latin America and Caribbean,89,5.155
Morocco,Middle East and Northern Africa,90,5.151
Hungary,Central and Eastern Europe,91,5.145
Lebanon,Middle East and Northern Africa,93,5.129
Portugal,Western Europe,94,5.123
Macedonia,Central and Eastern Europe,95,5.121
Vietnam,Southeastern Asia,96,5.061
Tunisia,Middle East and Northern Africa,98,5.045
Greece,Western Europe,99,5.033
Mongolia,Eastern Asia,101,4.907
Nigeria,Sub-Saharan Africa,103,4.875
Honduras,Latin America and Caribbean,104,4.871
Zambia,Sub-Saharan Africa,106,4.795
Albania,Central and Eastern Europe,109,4.655
Sierra Leone,Sub-Saharan Africa,111,4.635
Namibia,Sub-Saharan Africa,113,4.574
Cameroon,Sub-Saharan Africa,114,4.513
South Africa,Sub-Saharan Africa,116,4.459
Egypt,Middle East and Northern Africa,120,4.362
Armenia,Central and Eastern Europe,121,4.36
Kenya,Sub-Saharan Africa,122,4.356
Ukraine,Central and Eastern Europe,123,4.324
Ghana,Sub-Saharan Africa,124,4.276
Dem. Rep. Congo,Sub-Saharan Africa,125,4.272
Georgia,Central and Eastern Europe,126,4.252
Rep. Congo,Sub-Saharan Africa,127,4.236
Senegal,Sub-Saharan Africa,128,4.219
Bulgaria,Central and Eastern Europe,129,4.217
Zimbabwe,Sub-Saharan Africa,131,4.193
Malawi,Sub-Saharan Africa,132,4.156
Gabon,Sub-Saharan Africa,134,4.121
Mali,Sub-Saharan Africa,135,4.073
Haiti,Latin America and Caribbean,136,4.028
Botswana,Sub-Saharan Africa,137,3.974
Comoros,Sub-Saharan Africa,138,3.956
Cote d'Ivoire,Sub-Saharan Africa,139,3.916
Cambodia,Southeastern Asia,140,3.907
Angola,Sub-Saharan Africa,141,3.866
Niger,Sub-Saharan Africa,142,3.856
Chad,Sub-Saharan Africa,144,3.763
Burkina Faso,Sub-Saharan Africa,145,3.739
Madagascar,Sub-Saharan Africa,148,3.695
Tanzania,Sub-Saharan Africa,149,3.666
Liberia,Sub-Saharan Africa,150,3.622
Benin,Sub-Saharan Africa,153,3.484
Togo,Sub-Saharan Africa,155,3.303
Syria,Middle East and Northern Africa,156,3.069